news_id,legacy_record_id,phase,country,conflict_name,metric,value,unit,event_or_person_scope,news_headline,news_summary,news_source_url,news_date,news_category,source_id,citation_text,verified_by,verification_status,confidence_level,notes
NI-001,,phase1_palestine,Palestine,Israeli-Palestinian conflict,total_killed,2240,persons,,,Total Killed: 2240 (persons).,,,casualties,SRC-P006,Sum of fatalities across verified events in this phase.,SRC-P006|SRC-P007|SRC-P008|ocha_sitrep_3july,verified,high,Sum of fatalities across verified events in this phase.
NI-002,,phase1_palestine,Palestine,Israeli-Palestinian conflict,children_killed,0,persons,,,Children Killed: 0 (persons).,,,child impact,SRC-P006,Count of verified person rows flagged child_flag (proxy for children in records).,SRC-P006|SRC-P007|SRC-P008|ocha_sitrep_3july,verified,medium,Count of verified person rows flagged child_flag (proxy for children in records).
NI-003,,phase1_palestine,Palestine,Israeli-Palestinian conflict,women_killed,0,persons,,,Women Killed: 0 (persons).,,,casualties,SRC-P006,Not derivable without per-victim fatality link; 0 until modeled.,SRC-P006|SRC-P007|SRC-P008|ocha_sitrep_3july,verified,low,Not derivable without per-victim fatality link; 0 until modeled.
NI-004,,phase1_palestine,Palestine,Israeli-Palestinian conflict,doctors_killed,0,persons,,,Doctors Killed: 0 (persons).,,,medical workers,SRC-P006,Count of verified person rows flagged doctor_flag.,SRC-P006|SRC-P007|SRC-P008|ocha_sitrep_3july,verified,medium,Count of verified person rows flagged doctor_flag.
NI-005,,phase1_palestine,Palestine,Israeli-Palestinian conflict,journalists_killed,0,persons,,,Journalists Killed: 0 (persons).,,,leaders,SRC-P006,Count of verified person rows flagged journalist_flag.,SRC-P006|SRC-P007|SRC-P008|ocha_sitrep_3july,verified,medium,Count of verified person rows flagged journalist_flag.
NI-006,,phase1_palestine,Palestine,Israeli-Palestinian conflict,commanders_killed,0,persons,,,Commanders Killed: 0 (persons).,,,leaders,SRC-P006,Count of verified person rows flagged commander_flag.,SRC-P006|SRC-P007|SRC-P008|ocha_sitrep_3july,verified,medium,Count of verified person rows flagged commander_flag.
NI-007,,phase1_palestine,Palestine,Israeli-Palestinian conflict,arrests,0,persons,,,Arrests: 0 (persons).,,,arrests,SRC-P006,Sum of arrests across verified events and persons.,SRC-P006|SRC-P007|SRC-P008|ocha_sitrep_3july,verified,medium,Sum of arrests across verified events and persons.
NI-008,,phase1_palestine,Palestine,Israeli-Palestinian conflict,detentions,0,persons,,,Detentions: 0 (persons).,,,arrests,SRC-P006,Sum of detentions across verified events and persons.,SRC-P006|SRC-P007|SRC-P008|ocha_sitrep_3july,verified,medium,Sum of detentions across verified events and persons.
