news_id,legacy_record_id,phase,country,conflict_name,metric,value,unit,event_or_person_scope,news_headline,news_summary,news_source_url,news_date,news_category,source_id,citation_text,verified_by,verification_status,confidence_level,notes
NI-001,,phase4_additional,,,total_killed,0,persons,,,Total Killed: 0 (persons).,,,casualties,,Sum of fatalities across verified events in this phase.,CIVID-aggregation,verified,high,Sum of fatalities across verified events in this phase. [Auto-computed aggregate from verified events/persons; CIVID-aggregation when no single source applies.]
NI-002,,phase4_additional,,,children_killed,0,persons,,,Children Killed: 0 (persons).,,,child impact,,Count of verified person rows flagged child_flag (proxy for children in records).,CIVID-aggregation,verified,medium,Count of verified person rows flagged child_flag (proxy for children in records). [Auto-computed aggregate from verified events/persons; CIVID-aggregation when no single source applies.]
NI-003,,phase4_additional,,,women_killed,0,persons,,,Women Killed: 0 (persons).,,,casualties,,Not derivable without per-victim fatality link; 0 until modeled.,CIVID-aggregation,verified,low,Not derivable without per-victim fatality link; 0 until modeled. [Auto-computed aggregate from verified events/persons; CIVID-aggregation when no single source applies.]
NI-004,,phase4_additional,,,doctors_killed,0,persons,,,Doctors Killed: 0 (persons).,,,medical workers,,Count of verified person rows flagged doctor_flag.,CIVID-aggregation,verified,medium,Count of verified person rows flagged doctor_flag. [Auto-computed aggregate from verified events/persons; CIVID-aggregation when no single source applies.]
NI-005,,phase4_additional,,,journalists_killed,0,persons,,,Journalists Killed: 0 (persons).,,,leaders,,Count of verified person rows flagged journalist_flag.,CIVID-aggregation,verified,medium,Count of verified person rows flagged journalist_flag. [Auto-computed aggregate from verified events/persons; CIVID-aggregation when no single source applies.]
NI-006,,phase4_additional,,,commanders_killed,0,persons,,,Commanders Killed: 0 (persons).,,,leaders,,Count of verified person rows flagged commander_flag.,CIVID-aggregation,verified,medium,Count of verified person rows flagged commander_flag. [Auto-computed aggregate from verified events/persons; CIVID-aggregation when no single source applies.]
NI-007,,phase4_additional,,,arrests,0,persons,,,Arrests: 0 (persons).,,,arrests,,Sum of arrests across verified events and persons.,CIVID-aggregation,verified,medium,Sum of arrests across verified events and persons. [Auto-computed aggregate from verified events/persons; CIVID-aggregation when no single source applies.]
NI-008,,phase4_additional,,,detentions,0,persons,,,Detentions: 0 (persons).,,,arrests,,Sum of detentions across verified events and persons.,CIVID-aggregation,verified,medium,Sum of detentions across verified events and persons. [Auto-computed aggregate from verified events/persons; CIVID-aggregation when no single source applies.]
